timestamp,asset_id,region,load_kwh,generation_kwh,status_code
01/03/2026 0:00,WIND_01,North_District,42.22,47.79,100
01/03/2026 0:00,WIND_02,North_District,44.09,40,100
01/03/2026 0:00,SOLAR_A,Central_Hub,58.62,0,100
01/03/2026 0:00,SOLAR_B,Central_Hub,60.77,0,100
01/03/2026 0:00,GAS_PEAKER_2,South_Zone,38.69,91.09,100
01/03/2026 1:00,WIND_01,North_District,41.92,46.34,100
01/03/2026 1:00,WIND_02,North_District,43.77,40.5,100
01/03/2026 1:00,SOLAR_A,Central_Hub,57.52,0,100
01/03/2026 1:00,SOLAR_B,Central_Hub,62.35,0,100
01/03/2026 1:00,GAS_PEAKER_2,South_Zone,38.66,94.41,100
01/03/2026 2:00,WIND_01,North_District,42.61,53.98,100
01/03/2026 2:00,WIND_02,North_District,40.33,55.49,100
01/03/2026 2:00,SOLAR_A,Central_Hub,64.2,0,100
01/03/2026 2:00,SOLAR_B,Central_Hub,62.63,0,100
01/03/2026 2:00,GAS_PEAKER_2,South_Zone,38.46,102.08,100
01/03/2026 3:00,WIND_01,North_District,41.54,44.66,100
01/03/2026 3:00,WIND_02,North_District,32.94,38.34,100
01/03/2026 3:00,SOLAR_A,Central_Hub,55.54,0,100
01/03/2026 3:00,SOLAR_B,Central_Hub,56.25,0,100
01/03/2026 3:00,GAS_PEAKER_2,South_Zone,41.26,91.27,100
01/03/2026 4:00,WIND_01,North_District,35.27,48.52,100
01/03/2026 4:00,WIND_02,North_District,39.35,41.1,100
01/03/2026 4:00,SOLAR_A,Central_Hub,57.4,0,100
01/03/2026 4:00,SOLAR_B,Central_Hub,57.94,0,100
01/03/2026 4:00,GAS_PEAKER_2,South_Zone,41.53,108.21,100
01/03/2026 5:00,WIND_01,North_District,40.09,47.78,100
01/03/2026 5:00,WIND_02,North_District,39.73,51.58,100
01/03/2026 5:00,SOLAR_A,Central_Hub,62.12,0,100
01/03/2026 5:00,SOLAR_B,Central_Hub,61.07,0,100
01/03/2026 5:00,GAS_PEAKER_2,South_Zone,39.93,93.09,100
01/03/2026 6:00,WIND_01,North_District,38.03,46.22,100
01/03/2026 6:00,WIND_02,North_District,34.5,38.22,100
01/03/2026 6:00,SOLAR_A,Central_Hub,60.51,25.76,100
01/03/2026 6:00,SOLAR_B,Central_Hub,60.04,26.5,100
01/03/2026 6:00,GAS_PEAKER_2,South_Zone,33.63,102.73,100
01/03/2026 7:00,WIND_01,North_District,67.94,45.66,100
01/03/2026 7:00,WIND_02,North_District,65.56,49.1,100
01/03/2026 7:00,SOLAR_A,Central_Hub,86.34,30.16,100
01/03/2026 7:00,SOLAR_B,Central_Hub,88.2,28.85,100
01/03/2026 7:00,GAS_PEAKER_2,South_Zone,60.24,99.11,100
01/03/2026 8:00,WIND_01,North_District,67.53,45.27,100
01/03/2026 8:00,WIND_02,North_District,64.81,43.29,100
